section,claim,cite_key,supporting_text,doi,verified_on,verification_route
2.2,"For the 93 half Heuslers carrying both kinds of label at a matched temperature, the median disagreement is a factor of 1.38 and 84% agree within a factor of two, but the tail reaches 7.2.",NONE-OWN-MEASUREMENT,"No citation: this is measured in our own corpus. Reproduced by data/exports/kappa_v2/semiempirical_vs_bte.csv. Replaces an earlier claim that the semi-empirical error is 'a factor of two to three', which our own data does not support.",,2026-09-04,"own measurement, not a citation"
1,Figures of merit approaching zT ~ 1.5 have been demonstrated in p-type FeNbSb.,fu2015realizing,"From the abstract: 'Here we report a high zT of ~1.5 at 1,200 K for the p-type FeNbSb heavy-band half-Heusler alloys.' Supports the zT value and the compound exactly as stated.",10.1038/ncomms9144,2026-09-04,"Crossref abstract, read"
1,...and zT ~ 1.4 in ZrCoBi.,zhu2018discovery,"From the abstract: 'Here we report the discovery of p-type ZrCoBi-based half-Heuslers with a record-high ZT of ~1.42 at 973 K'. Also supports the framing sentence: 'Half-Heusler materials, as one of the most promising candidates for thermoelectric power generation, have relatively low ZTs compared to other material systems.'",10.1038/s41467-018-04958-3,2026-09-04,"Crossref abstract, read"
1,Solving the phonon Boltzmann transport equation from first principles has been applied to the half-Heusler space at scale to identify compounds with unusually low conductivity.,carrete2014finding,"Verified title: 'Finding Unprecedentedly Low-Thermal-Conductivity Half-Heusler Semiconductors via High-Throughput Materials Modeling' (Phys. Rev. X 4, 011019, 2014). The title supports the claim as written. NOTE: abstract not carried by Crossref; the specific number of compounds screened was REMOVED from our text because it could not be verified. Do not reinstate a count without reading the paper.",10.1103/PhysRevX.4.011019,2026-09-04,Crossref metadata; abstract NOT read
1,A converged transport calculation is expensive enough that high-throughput application has driven a search for cheaper surrogates.,liu2020a,"From the abstract: 'In principle, the thermal conductivity can be accurately predicted by solving the phonon Boltzmann transport equation, which is however very time-consuming, especially for complex systems with large unit cell. Here, using half-Heusler compounds as prototypical examples, we apply a compressed-sensing approach to rapidly evaluate the lattice thermal conductivity.' Supports both the cost claim and the surrogate-search claim, in half Heuslers specifically.",10.1088/1361-6463/ab898e,2026-09-04,"Crossref abstract, read"
1,...and more recently for machine-learned models trained to reproduce the calculations directly.,luo2023predicting,"From the abstract: 'molecular dynamics simulations and first-principles calculations have become two major approaches to predict the lattice thermal conductivity, which are however limited by insufficient accuracy and high computational cost, respectively. To overcome such inherent disadvantages, machine learning (ML) has been successfully used to accurately predict kappa_L in a high-throughput style.' Supports that ML models in this field are trained to reproduce calculated values.",10.1038/s41524-023-00964-2,2026-09-04,"Crossref abstract, read"
1,"much subsequent effort has gone into reproducing it more cheaply ... and, increasingly, machine-learned models [half-Heusler lattice thermal conductivity]",trans2022lattice,"Verified title: 'Lattice thermal conductivity of half-Heuslers with density functional theory and machine learning: Enhancing predictions by active sampling' (Computational Materials Science 202, 110938, 2022). Title supports a machine-learning model of half-Heusler lattice thermal conductivity built on DFT. NOTE: abstract not in Crossref; a human should confirm the training labels are DFT before this supports the DFT-labels claim.",10.1016/j.commatsci.2021.110938,2026-09-04,Crossref metadata; abstract NOT read
1,...machine-learned models,miyazaki2021machine,From the abstract: 'Half-Heusler compound has drawn attention ... as a candidate material for thermoelectric energy conversion ... The calculation for the prediction of lattice thermal conductivity is an important physical parameter'. Title: 'Machine learning based prediction of lattice thermal conductivity for half-Heusler compounds using atomic information'. Supports a half-Heusler ML model of lattice thermal conductivity.,10.1038/s41598-021-92030-4,2026-09-04,"Crossref abstract, read"
1,...machine-learned models,jaafreh2021lattice,"Verified title: 'Lattice Thermal Conductivity: An Accelerated Discovery Guided by Machine Learning' (ACS Appl. Mater. Interfaces 13, 57204, 2021). Supports an ML approach to lattice thermal conductivity. NOTE: abstract not in Crossref and the publisher blocks automated fetch; NOT used to support any claim about how that paper validates its predictions.",10.1021/acsami.1c17378,2026-09-04,Crossref metadata; abstract NOT read
1,...machine-learned models,bhattacharjee2022thorough,"Verified title: 'Thorough Descriptor Search to Machine Learn the Lattice Thermal Conductivity of Half-Heusler Compounds' (ACS Appl. Energy Mater. 5, 8913, 2022). Supports a descriptor-based ML model of half-Heusler lattice thermal conductivity. NOTE: abstract not in Crossref.",10.1021/acsaem.2c01400,2026-09-04,Crossref metadata; abstract NOT read
1,...machine-learned models,paliwal2025accelerate,"Verified title: 'Accelerated prediction of temperature-dependent lattice thermal conductivity via ensembled machine learning models' (Phys. Rev. Materials, 2025). Supports a recent ML model of temperature-dependent lattice thermal conductivity. NOTE: abstract not in Crossref.",10.1103/l92g-tkds,2026-09-04,Crossref metadata; abstract NOT read
1,"Training directly on measurements is the obvious alternative, and it is beginning to appear.",barua2024interpreta,"Verified title: 'Interpretable Machine Learning Model on Thermal Conductivity Using Publicly Available Datasets and Our Internal Lab Dataset' (Chemistry of Materials 36, 7089, 2024). The title states the model is trained on public datasets plus the authors' own internal laboratory data, which supports the claim that training on measured values is beginning to appear. NOTE: abstract not in Crossref; a human should confirm the internal data are experimental thermal conductivity before submission.",10.1021/acs.chemmater.4c01696,2026-09-04,Crossref metadata; abstract NOT read
4.6,On 21 in-domain compounds the published semi-empirical estimates give 94.6% median error against 31.5% for the calibrated calculation; dropping the temperature exponent raises our error from 31.0% to 45.1%.,NONE-OWN-MEASUREMENT,No citation: both are measured in our own corpus under the paper's own protocol. Reproduced by compute_baselines_ablation.py -> data/exports/kappa_v2/baselines_ablation.json.,,2026-09-04,"own measurement, not a citation"
3.1,"Half Heuslers are semiconducting at the closed-shell valence-electron counts, of which VEC=18 is the one relevant to transition-metal members.",anand2018a,"Verified title: 'A valence balanced rule for discovery of 18-electron half-Heuslers with defects' (Energy Environ. Sci. 11, 1480, 2018). Abstract, verbatim: 'Thermodynamically stable ground state half-Heusler structures are valence balanced irrespective of electron count or stoichiometry.' The title supports 18 electrons as the operative count for half Heuslers. NOTE: the abstract as served by Crossref is a single sentence and does not itself state the semiconducting consequence; cited alongside graf2011simple, which remains the primary support and is still flagged NEEDS HUMAN CHECK.",10.1039/C8EE00306H,2026-09-04,"Crossref abstract, read (one sentence only)"
1,"Zhu et al. trained a crystal-graph neural network on 2668 computed conductivities and then transfer-learned it onto 132 experimentally measured values, halving the error on the measured scale.",zhu2021charting,"Verified via Luo et al. npj Comput. Mater. 9, 4 (2023), which this manuscript also cites and which I read in full from data/pdfs/inbox/s41524-023-00964-2.pdf. Verbatim from that review: 'they established a model based on the dataset containing 2668 calculated lattice thermal conductivities (named kappa_C in their work)... It should be noted that these kappa_C were firstly calculated by a semi-empirical model, which inevitably exhibit insufficient accuracy. To address such a problem, they collected 132 experimentally measured lattice thermal conductivities (kappa_exp)... the established model exhibits a large mean absolute error (MAE) of 0.51 (for log-scaled kappa_exp)... they developed a transfer learning scheme where all layers from the model trained by kappa_C was transferred to initialize a second CGCNN with reduced MAE of ~0.27.' This also supports the claim that Zhu's computed labels were SEMI-EMPIRICAL rather than transport calculations, which is the basis of our distinction. NOTE: this is a second-hand verification through a review, not the primary paper; a human should confirm against Zhu et al. directly before submission.",10.1039/D1EE00442E,2026-09-04,"verified via Luo 2023 review, read in full; PRIMARY NOT READ"
1,Miller et al. fitted a semi-empirical model to experimental data across several dozen compounds.,miller2017capturing,"Supporting Information, verbatim, read from the primary source (data/pdfs/inbox/cm6b04179_si_001.pdf): 'Semi-empirical Model. The thermal conductivity is determined within the semi-empirical model using ground state calculations and structural data from the Inorganic Crystal Structure Database (ICSD). Assuming Umklapp scattering as the dominant scattering source and using the high temperature heat capacity limit...' Confirms the object fitted to experiment is a SEMI-EMPIRICAL Umklapp model, not a correction applied to a Boltzmann-transport calculation. NOTE: the SI was read; the main text was not.",10.1021/acs.chemmater.6b04179,2026-09-04,primary source (Supporting Information) read; main text NOT read
1,...and models trained directly on measured conductivities exist.,chen2019machine,"Abstract, verbatim, read from the primary source (arXiv:1906.06378v2, the preprint of the Comput. Mater. Sci. paper, at data/pdfs/inbox/1906.06378v2.pdf): 'we build a machine learning (ML)-based model to accurately and instantly predict kappa_L of inorganic materials, using a benchmark data set of experimentally measured kappa_L of about 100 inorganic solids. We use advanced and universal feature engineering techniques along with the Gaussian process regression algorithm.' Confirms they train DIRECTLY on measurements and do not correct a calculation - a text search for correction/calibration language returned nothing.",10.1016/j.commatsci.2019.109155,2026-09-04,primary source read (arXiv preprint of the journal paper)
2.1,First-principles values were drawn from AFLOW -- transport values from its AAPL module.,plata2017an,"Verified title: 'An efficient and accurate framework for calculating lattice thermal conductivity of solids: AFLOW-AAPL Automatic Anharmonic Phonon Library' (npj Comput. Mater. 3, 45, 2017). Supports AAPL as the AFLOW module producing Boltzmann-transport lattice thermal conductivities. Replaces the earlier citation of the 2012 AFLOW framework paper, which predates AFLOW's thermal-transport capability and cannot support a kappa claim.",10.1038/s41524-017-0046-7,2026-09-04,Crossref metadata; abstract NOT read
2.1,...and quasi-harmonic estimates from AGL.,toher2014highthroug,"Verified title: 'High-throughput computational screening of thermal conductivity, Debye temperature, and Grueneisen parameter using a quasiharmonic Debye model' (Phys. Rev. B 90, 174107, 2014). Supports AGL as the quasi-harmonic Debye route, which our tiering classes as semi-empirical rather than transport.",10.1103/PhysRevB.90.174107,2026-09-04,Crossref metadata; abstract NOT read
4.4,"On 34 in-domain compounds with a matched published transport value: uncorrected published 71.6%, uncorrected surrogate 66.1%, calibrated surrogate 31.4%, calibrated published 27.3%. k_pred differs from the published value by a median 15.4%.",NONE-OWN-MEASUREMENT,No citation: measured in our own corpus under the paper's own protocol. Reproduced by scratchpad/verify_surrogate.py -> data/exports/kappa_v2/surrogate_vs_published.json.,,2026-09-04,"own measurement, not a citation"
5.2,The transport calculations being calibrated are drawn from published high-throughput studies.,li2025highthroug,"Source of the BTE values behind the issued predictions. Verified: this DOI appears as source_doi on the tier-1 rows for ErSbPt, HoSbPt and TbNiSb in HEUSLER_KAPPA_TRAINING_SET.csv, i.e. it is the paper whose calculated values Table 2 calibrates. NOTE: abstract not read; cited for provenance of numbers we use, which the corpus records directly.",10.1038/s41524-025-01920-y,2026-09-04,provenance verified in the corpus; abstract NOT read
5.2,...published high-throughput studies.,ohnishi2026database,"Source of BTE values for ErSbPt, HoSbPt and TbNiSb; appears as source_doi on their tier-1 rows in the training set. NOTE: abstract not read; cited for provenance.",10.1038/s41524-026-02033-w,2026-09-04,provenance verified in the corpus; abstract NOT read
5.2,...published high-throughput studies.,miyazaki2021machine,Source of BTE values for all five issued compounds; appears as source_doi on their tier-1 rows. Abstract previously read and recorded in this ledger for the Introduction claim.,10.1038/s41598-021-92030-4,2026-09-04,provenance verified in the corpus; abstract read
3.2,A Callaway grey-boundary treatment with a single boundary length gives a suppression S = Lambda_b/(Lambda + Lambda_b).,callaway1959model,"Verified title: 'Model for Lattice Thermal Conductivity at Low Temperatures' (Phys. Rev. 113, 1046, 1959). The originating reference for the Callaway relaxation-time model invoked. NOTE: abstract not carried by Crossref for a 1959 record; cited as the standard attribution for the model by name.",10.1103/PhysRev.113.1046,2026-09-04,Crossref metadata; abstract NOT read
3.2,"A laboratory specimen is a polycrystal with grain boundaries, point defects and finite density... for the XNiSn half Heuslers this has been analysed directly against measurement.",schrade2017the,"Verified title: 'The role of grain boundary scattering in reducing the thermal conductivity of polycrystalline XNiSn (X = Hf, Zr, Ti) half-Heusler alloys' (Sci. Rep. 7, 13760, 2017). Directly supports that the calculation-versus-measurement gap in these specific compounds has been analysed in terms of grain-boundary scattering. NOTE: abstract not read in this session; the title alone supports the claim as written.",10.1038/s41598-017-14013-8,2026-09-04,Crossref metadata; abstract NOT read
4.5,"A family power law fitted to the measured curves of the held-out compound's own bonding family gives 28.2% median error on 31 compounds against our 31.0%, p=0.22, ours better on 42%; it cannot cover 7 compounds and its within-family Spearman is -0.90 against our +0.50.",NONE-OWN-MEASUREMENT,No citation: measured in our own corpus under the paper's own protocol. Reproduced by compute_family_null.py -> data/exports/kappa_v2/family_null.json. This baseline was raised by an adversarial review and is reported because the method does NOT beat it on accuracy; the defensible advantage is coverage and within-family ordering.,,2026-09-04,"own measurement, not a citation"
5.3,"Applying the extrapolation rule retrospectively to the 16 measured compounds whose families are large enough to test it, the refused group is not detectably worse (29.6% vs 24.8%, p=0.35); TmSbPd and GdSbPt miss the boundary by 1.09x and 1.24x, less than the 1.33x inter-laboratory disagreement.",NONE-OWN-MEASUREMENT,"No citation: measured in our own corpus. Reproduced by scratchpad/extrap_gate.py and scratchpad/audit_refusals.py. Recorded because it is a NEGATIVE result about one of our own gates -- the rule is a stated conservatism, not a validated filter, and the paper says so.",,2026-09-04,"own measurement, not a citation"
5.4,"250 half Heuslers have a calculation and no measurement; 234 are removed at the validated-family requirement, of which 114 belong to families never measured. Three families (Co-Bi, Ni-Pb, Sb-Ir) are one measurement short and would release 6 predictions; Ni-Bi has 11 candidates blocked by YNiBi, whose measured kappa rises with temperature (slope +0.51 over 10 points).",NONE-OWN-MEASUREMENT,No citation: traced in our own corpus. Reproduced by scratchpad/candidate_funnel.py and scratchpad/unlock.py. The YNiBi slope is computed from its tier-0 rows and matches the broken-reference signature described in Section 2.3.,,2026-09-04,"own measurement, not a citation"
5.4,"Across 151 half Heuslers with two or more independent transport calculations at 300 K the median disagreement is 1.13x, 90th percentile 1.99x, maximum 18.35x (TmNiSb). ErSbPt and HoSbPt rest on calculations 1.68x and 1.72x apart; TiNiPb 5.60x and HoNiBi 2.37x are excluded on that basis. 14 of 17 unlock candidates survive every criterion.",NONE-OWN-MEASUREMENT,"No citation: measured in our own corpus. Reproduced by scratchpad/source_conflict.py and scratchpad/audit_unlock.py -> data/exports/kappa_v2/unlock_audit.json. This corrects an earlier claim of 22 total predictions to 19, and adds a caveat to two issued predictions.",,2026-09-04,"own measurement, not a citation"
5.4,"The rise of YNiBi's reported kappa_L with temperature reflects a bipolar contribution the original authors themselves report, not an artefact of our extraction.",li2015synthesis,"Abstract, verbatim: 'A significant bipolar contribution to thermal conductivity was observed in YNiBi, which induces a relatively low thermoelectric dimensionless figure-of-merit zT in this material. Enhancement of zT for YNiBi could be realized through appropriate doping to suppress the bipolar effect.' The bipolar contribution is the source paper's own finding; a single-parabolic-band Lorenz number carries no bipolar term, so our subtraction cannot remove it.",10.1063/1.4921811,2026-09-04,"OpenAlex abstract, read; DOI resolved via Crossref"
5.4,"ZrNiBi, the only other Ni-Bi half Heusler with a measured lattice thermal conductivity, is excluded by our VEC=18 screen and is not stoichiometric.",ren2023vacancymed,"Full text, open access: 'the stoichiometric ZrNiBi with a valence electron count (VEC) of 19 lies above the convex hull ... indicating that it is thermodynamically unstable', and 'By artificially tuning the Zr vacancy concentration to ~12% (i.e., Zr0.88NiBi), phase-pure samples can be repeatedly achieved.' The measured material is therefore Zr-deficient and VEC 19, failing both the stoichiometry and the VEC=18 screen.",10.1038/s41467-023-40492-7,2026-09-04,open-access full text read (Europe PMC PMC10404254)
5.4,Stoichiometric ZrNiBi is independently characterised as an unstable 19-electron half Heusler.,liu2025stabilizat,"Abstract: 'a vacancy-filling strategy based on the Zintl chemistry principles is developed to stabilize 19-electron half-Heusler alloys as stable thermoelectric semiconductors ... the partial filling of Fe into the 4d vacant sites of the unstable 19-electron half-Heusler alloys, such as TiNiSb, NbCoSb, and ZrNiBi'. Corroborates the 19-electron assignment and the instability independently of the Nature Communications study.",10.1002/smll.202502068,2026-09-04,"OpenAlex abstract, read; full text NOT read"
5.4,LuNiBi's low lattice thermal conductivity has been studied by inelastic X-ray scattering combined with first-principles calculations.,li2024multiphono,"Abstract: 'LuNiBi is taken as the typical half-Heusler compound to investigate multiphonon interaction and thermal conductivity. By employing inelastic x-ray scattering and first-principles calculations, we confirm that the low thermal conductivity of LuNiBi is closely related to its small group velocity'. Supports that the compound is under active phonon study; the abstract does not report a thermal-transport measurement of kappa_L, and the paywalled full text was NOT read.",10.1103/PhysRevB.109.174302,2026-09-04,"OpenAlex abstract, read; paywalled full text NOT read"
6.3,"A neglected four-phonon channel would raise the calculated kappa relative to measurement, and three-phonon calculations err in that direction.",feng2017fourphonon,"Abstract, verbatim: 'recent quantitative calculations of three-phonon scattering have often shown a significant overestimation of thermal conductivity as compared to experimental values. In this Rapid Communication we show that four-phonon scattering is generally important in solids and can remedy such discrepancies.' Supports both halves of the sentence: the neglected channel, and its direction.",10.1103/PhysRevB.96.161201,2026-09-06,"OpenAlex abstract, read"
6.1,Resonant rattling modes produce a distinctive suppression of lattice thermal conductivity.,jana2016the,"Abstract reports 'an ultralow lattice thermal conductivity (ca. 0.4 W m-1 K-1) in mixed valent InTe' whose 'phonon dispersion exhibits, along with low-energy flat branches, weak' interaction -- i.e. rattling producing an identifiable low-kappa signature. Supports the existence and character of the mechanism, not any quantitative claim.",10.1002/anie.201511737,2026-09-06,"OpenAlex abstract, read"
6.3,Radiative heat loss affects laser-flash thermal diffusivity at high temperature.,nishi2020effect,"Abstract: 'The laser flash technique is a standard method to measure the thermal diffusivity of solid samples especially at high temperatures. To understand the reliability of thermal diffusivity evaluation at high temperature for solid samples with low-thermal-diffusivity values, we analyzed the effect of radiative heat loss.' Supports that the effect exists and matters at high T. It does NOT state a T^3 scaling, and the manuscript's T^3 claim was removed rather than attributed to this source.",10.1515/htmp-2020-0079,2026-09-06,"Crossref abstract, read"
